id,service_type,feedback_text,predicted_sentiment,sentiment_score,rating,date
FB_0001,Home Healthcare,Exceptional Home Healthcare quality. Will definitely return. Appointment scheduling was convenient.,positive,0.2727272727272727,4,2024-10-06
FB_0002,Urgent Care,Average Urgent Care experience. Met basic expectations.,neutral,0,3,2025-09-02
FB_0003,Emergency Care,The Emergency Care was excellent. Staff was professional and caring.,positive,0.3,5,2025-05-28
FB_0004,Surgical Procedures,Disappointed with Surgical Procedures. Long wait times and poor communication.,negative,-0.2,1,2024-09-25
FB_0005,Radiology Services,Very satisfied with Radiology Services. Quick and efficient service. Follow-up care was thorough.,positive,0.23076923076923078,4,2025-08-01
FB_0006,Radiology Services,Great experience with Radiology Services. Everything went smoothly.,positive,0.125,4,2025-01-25
FB_0007,Preventive Care,Amazing Preventive Care. The staff was wonderful and caring. Follow-up care was thorough.,positive,0.3076923076923077,5,2024-11-26
FB_0008,Mental Health Counseling,Disappointed with Mental Health Counseling. Long wait times and poor communication.,negative,-0.18181818181818182,2,2025-08-08
FB_0009,Mental Health Counseling,The Mental Health Counseling was reasonable. Nothing special. Follow-up care was thorough.,positive,0.08333333333333333,3,2025-03-12
FB_0010,Laboratory Testing,Exceptional Laboratory Testing quality. Will definitely return.,positive,0.2857142857142857,4,2024-11-10
FB_0011,Home Healthcare,The Home Healthcare team was knowledgeable and helpful throughout. Billing process was transparent.,positive,0.23076923076923078,5,2024-10-25
FB_0012,Urgent Care,Awful Urgent Care. Worst experience I've ever had.,negative,-0.25,1,2025-05-23
FB_0013,Telemedicine Consultation,The Telemedicine Consultation was reasonable. Nothing special. Appointment scheduling was convenient.,positive,0.09090909090909091,4,2025-06-01
FB_0014,Home Healthcare,Perfect Home Healthcare experience. Exceeded my expectations. Appointment scheduling was convenient.,positive,0.18181818181818182,4,2024-12-04
FB_0015,Preventive Care,Amazing Preventive Care. The staff was wonderful and caring.,positive,0.3333333333333333,5,2025-03-16
FB_0016,Mental Health Counseling,"The Mental Health Counseling was okay. Some good aspects, some areas for improvement.",positive,0.07692307692307693,3,2025-08-24
FB_0017,Emergency Care,Very satisfied with Emergency Care. Quick and efficient service.,positive,0.2222222222222222,5,2024-11-16
FB_0018,Emergency Care,Perfect Emergency Care experience. Exceeded my expectations.,positive,0.14285714285714285,4,2024-10-04
